"","x"
"2629","KCNK2"
"2630","KRTAP13-3"
"2631","NECAB2"
"2632","RNF145"
"2633","SORBS2"
"2634","TPTE2"
"2635","UGT3A1"
"2636","SPAST"
"2637","PFKFB1"
"2638","ACTR2"
"2639","CARM1"
"2640","CACTIN"
"2641","CHD2"
"2642","CNOT1"
"2643","DCAF17"
"2644","FRMD4A"
"2645","GHSR"
"2646","HEPACAM2"
"2647","LRRC16A"
"2648","PMEL"
"2649","ARHGEF28"
"2650","ATP8A2"
"2651","CUL3"
"2652","DDX39A"
"2653","INTS7"
"2654","OR8K3"
"2655","RPS6KA2"
"2656","XKR4"
"2657","ACSS3"
"2658","ALDH1B1"
"2659","ARHGAP9"
"2660","ARHGEF17"
"2661","ARID3A"
"2662","ARIH2OS"
"2663","BDH1"
"2664","C2CD2L"
"2665","CAPS2"
"2666","CBFA2T2"
"2667","CCDC36"
"2668","CD96"
"2669","COL14A1"
"2670","CPT2"
"2671","CSTF3"
"2672","D2HGDH"
"2673","DPPA4"
"2674","ELMSAN1"
"2675","EML1"
"2676","ENPP4"
"2677","FIGN"
"2678","FKBP15"
"2679","GPR63"
"2680","HOXC6"
"2681","HSF1"
"2682","IL12RB1"
"2683","INPP5B"
"2684","IRF2BPL"
"2685","KCNJ9"
"2686","KIAA1257"
"2687","KIAA1468"
"2688","KLHL15"
"2689","KRT82"
"2690","L3MBTL2"
"2691","LACE1"
"2692","MAP2K7"
"2693","MED6"
"2694","MRPS28"
"2695","MVP"
"2696","NCOA2"
"2697","NPHS2"
"2698","OC90"
"2699","ODF2L"
"2700","OR4D11"
"2701","OR4F15"
"2702","PDK4"
"2703","PIGK"
"2704","PTGFRN"
"2705","RBM12B"
"2706","SAMSN1"
"2707","SCIN"
"2708","SEC23IP"
"2709","SIGLEC5"
"2710","SIGLEC7"
"2711","SKIL"
"2712","SLC25A36"
"2713","SLC5A12"
"2714","SLC6A5"
"2715","SMCR8"
"2716","SNRPA1"
"2717","TACC2"
"2718","THPO"
"2719","TKTL1"
"2720","TMEM72"
"2721","TNFRSF14"
"2722","TRIM72"
"2723","UBQLN3"
"2724","XPO5"
"2725","ZBTB20"
"2726","ZC3HC1"
"2727","ZFP37"
"2728","ZMAT4"
"2729","ZNF136"
"2730","ZNF214"
"2731","ZNF215"
"2732","ZNF524"
"2733","ZNF577"
"2734","ZNF665"
"2735","TTLL4"
"2736","SPOCK3"
"2737","ARMC2"
"2738","ATG13"
"2739","BMPER"
"2740","CRY2"
"2741","GCFC2"
"2742","GPR101"
"2743","IFT122"
"2744","IPP"
"2745","KCNF1"
"2746","KLHL5"
"2747","LIPI"
"2748","MYO1B"
"2749","NCAPD3"
"2750","NCDN"
"2751","NOX5"
"2752","NSFL1C"
"2753","PIDD"
"2754","PRKD2"
"2755","PRMT6"
"2756","SEMA3E"
"2757","SLC25A35"
"2758","SLC7A3"
"2759","ZNF274"
"2760","ZNF429"
"2761","ZNF471"
"2762","ATP6V0A1"
"2763","CYP2A13"
"2764","PCDHB13"
"2765","UBQLN2"
"2766","NT5E"
"2767","ADRA1B"
"2768","CHST12"
"2769","CPS1"
"2770","ESF1"
"2771","FAM83C"
"2772","GAS2L3"
"2773","HAL"
"2774","MFSD8"
"2775","SGCA"
"2776","SREBF2"
"2777","SUFU"
"2778","TBC1D1"
"2779","TEAD4"
"2780","TLN2"
"2781","ZNF496"
"2782","UBQLNL"
"2783","MYO5C"
"2784","ZFP69B"
"2785","CCDC144A"
"2786","CES2"
"2787","POLR3A"
"2788","RAPGEF3"
"2789","SLC25A53"
"2790","SLC7A11"
"2791","SNTG1"
"2792","SSH1"
"2793","RNF139"
"2794","FNBP4"
"2795","GALNT13"
"2796","GDPD5"
"2797","MOGS"
"2798","NKX6-1"
"2799","PRR23B"
"2800","SLC16A14"
"2801","VGLL3"
"2802","BTN3A1"
"2803","CHRNA6"
"2804","PRODH"
"2805","WIPF1"
"2806","ZNF221"
"2807","C11orf48"
"2808","FBXL13"
"2809","OR9K2"
"2810","RHBDF2"
"2811","AP3B2"
"2812","BRD9"
"2813","CRYGC"
"2814","INTS10"
"2815","KY"
"2816","NDUFAF7"
"2817","OGFOD1"
"2818","PGK2"
"2819","PHACTR3"
"2820","SPATA7"
"2821","TMLHE"
"2822","ECM1"
"2823","MAK"
"2824","SNX8"
"2825","ZNF57"
"2826","GPR128"
"2827","ANKDD1A"
"2828","CPNE6"
"2829","HELLS"
"2830","METTL3"
"2831","PPP1R15A"
"2832","PTPN5"
"2833","RALGDS"
"2834","RBM19"
"2835","SLC39A6"
"2836","TRIML2"
"2837","VAX2"
"2838","CNOT6L"
"2839","DBR1"
"2840","SELE"
"2841","AKIP1"
"2842","DNM3"
"2843","EDARADD"
"2844","GABRA5"
"2845","OR5A2"
"2846","PTPRR"
"2847","SLC26A10"
"2848","ZNF623"
"2849","SLC2A11"
"2850","WDR92"
"2851","SLC12A3"
"2852","SLC6A9"
"2853","AGMAT"
"2854","ANAPC5"
"2855","AOC2"
"2856","ARHGAP10"
"2857","BCAT1"
"2858","BCL11A"
"2859","CCR2"
"2860","CDCA5"
"2861","CKB"
"2862","CWF19L2"
"2863","FBXL7"
"2864","FGR"
"2865","GABRQ"
"2866","GIPC3"
"2867","GYG2"
"2868","HNRNPUL1"
"2869","KCTD10"
"2870","CLUH"
"2871","KIF14"
"2872","MAZ"
"2873","MCMDC2"
"2874","NDRG3"
"2875","NFIA"
"2876","NUAK2"
"2877","OMA1"
"2878","OR52E2"
"2879","OXR1"
"2880","PAM"
"2881","PDZD8"
"2882","PLA2G6"
"2883","PLXDC1"
"2884","PNLIPRP2"
"2885","PPP2R3A"
"2886","PRKCB"
"2887","SDHAF2"
"2888","SLC10A2"
"2889","SLC1A7"
"2890","SPATA21"
"2891","WHAMM"
"2892","ZNF81"
"2893","PDE8B"
"2894","PTPN22"
"2895","UGT2B7"
"2896","SLC25A13"
"2897","PARP16"
"2898","C22orf31"
"2899","CEACAM18"
"2900","ARHGAP29"
"2901","IPO11"
"2902","MTPAP"
"2903","PADI1"
"2904","CEP70"
"2905","ZNF202"
"2906","CDHR1"
"2907","DDX18"
"2908","DENND1C"
"2909","KCTD8"
"2910","L3MBTL4"
"2911","NARF"
"2912","NPAT"
"2913","OR2M2"
"2914","OR51F2"
"2915","PGM2L1"
"2916","RABEP2"
"2917","SLC4A5"
"2918","HNRNPH2"
"2919","MS4A2"
"2920","PAIP2B"
"2921","SLC2A1"
"2922","CBLC"
"2923","FANCD2"
"2924","PTK2B"
"2925","TET3"
"2926","MAGI1"
"2927","HLA-A"
"2928","PATZ1"
"2929","RANBP2"
"2930","RET"
"2931","MAPK1"
"2932","BRCA1"
"2933","ZNF668"
"2934","HLA-B"
"2935","STIL"
"2936","ZFP36L1"
"2937","KAT6A"
"2938","MYH10"
"2939","SYK"
"2940","ATN1"
"2941","BCR"
"2942","CASC5"
"2943","DDR2"
"2944","ERBB2"
"2945","ERBB2IP"
"2946","LTK"
"2947","SEC31A"
"2948","AXIN2"
"2949","LAMA5"
"2950","SMAD4"
"2951","KRAS"
"2952","TP63"
"2953","FAS"
"2954","FKBP9"
"2955","CTNNA1"
"2956","DOT1L"
"2957","ITK"
"2958","JAK3"
"2959","MAML2"
"2960","MMP8"
"2961","SLC19A1"
"2962","ROS1"
"2963","NKX2-2"
"2964","TBX22"
"2965","FANCG"
"2966","FLNB"
"2967","CARS"
"2968","CLTCL1"
"2969","KDM5C"
"2970","NLRP2"
"2971","ALOX12B"
"2972","MMP26"
"2973","TNFAIP3"
"2974","GNAS"
"2975","LST3"
"2976","ZFP36L2"
"2977","EP400"
"2978","BUB1"
"2979","ETV6"
"2980","DDR1"
"2981","ZBED4"
"2982","TCF7L2"
"2983","NOTCH4"
"2984","KIAA1462"
"2985","TCF4"
"2986","CYP3A7"
"2987","HNF1B"
"2988","MMP24"
"2989","SRGAP3"
"2990","AFF1"
"2991","BLM"
"2992","CRTC1"
"2993","ERC1"
"2994","ETV5"
"2995","FCHSD1"
"2996","GATA1"
"2997","MAP3K5"
"2998","NLRP7"
"2999","ZMYM2"
"3000","TRAF5"
"3001","PDGFRB"
"3002","HLA-G"
"3003","CYP2C18"
"3004","FANCF"
"3005","FCRL4"
"3006","HIF1A"
"3007","MED15"
"3008","RPN1"
"3009","RPTOR"
"3010","PRF1"
"3011","HLA-C"
"3012","MPL"
"3013","NRP2"
"3014","CCDC132"
"3015","AKT1"
"3016","MYCN"
"3017","ABL2"
"3018","PSIP1"
"3019","MTUS2"
"3020","PER1"
"3021","FGFR4"
"3022","KDSR"
"3023","INPP4B"
"3024","FYN"
"3025","FES"
"3026","PRKCI"
"3027","BMX"
"3028","DBN1"
"3029","SMAD3"
"3030","EPHA8"
"3031","TFDP3"
"3032","YAP1"
"3033","ANO7"
"3034","BMP2K"
"3035","HSP90AB1"
"3036","MRE11A"
"3037","MSN"
"3038","PDGFRA"
"3039","SMARCA2"
"3040","CHRNA3"
"3041","AFF4"
"3042","ABCC2"
"3043","AGTR1"
"3044","ATP8B1"
"3045","CAMK1D"
"3046","ERG"
"3047","IL6ST"
"3048","MDM2"
"3049","TFDP1"
"3050","ARAF"
"3051","IGF1R"
"3052","PIM1"
"3053","ABI1"
"3054","HIP1"
"3055","CCDC6"
"3056","CCNL1"
"3057","ANKLE1"
"3058","COL1A1"
"3059","SMAD2"
"3060","CCND1"
"3061","ACKR3"
"3062","DAXX"
"3063","ERCC3"
"3064","EWSR1"
"3065","IL21R"
"3066","MYC"
"3067","SIX4"
"3068","TFG"
"3069","ZBED1"
"3070","AFAP1"
"3071","FH"
"3072","FOXG1"
"3073","FBXO31"
"3074","PNRC1"
"3075","RABEP1"
"3076","RHOH"
"3077","CBL"
"3078","HRAS"
"3079","RIPK4"
"3080","TBP"
"3081","WEE1"
"3082","PTPN11"
"3083","PHOX2B"
"3084","PAX5"
"3085","ARHGAP26"
"3086","FAM46C"
"3087","FANCC"
"3088","PRDM1"
"3089","TNFRSF11A"
"3090","CYP2C8"
"3091","HNF1A"
"3092","MMP14"
"3093","PKHD1"
"3094","PTEN"
"3095","BRCA2"
"3096","KMT2C"
"3097","PDGFC"
"3098","MED12"
"3099","TP53"
"3100","ATRX"
"3101","MYH9"
"3102","NSD1"
"3103","ROBO1"
"3104","PIK3CA"
"3105","BCL6"
"3106","NOTCH1"
"3107","STK11"
"3108","MYH7"
"3109","SPTAN1"
"3110","TIAM1"
"3111","CREBBP"
"3112","CUBN"
"3113","FBXW7"
"3114","MYH6"
"3115","RUNX1T1"
"3116","CSF1R"
"3117","EPHA4"
"3118","FANCA"
"3119","FANCL"
"3120","NFE2L2"
"3121","PRKDC"
"3122","BAP1"
"3123","CYP2C9"
"3124","EGFR"
"3125","EPHB6"
"3126","KMT2D"
"3127","MTOR"
"3128","MYH11"
"3129","TSC2"
"3130","MYH8"
"3131","SETD2"
"3132","AFF3"
"3133","APC"
"3134","CDK12"
"3135","HGF"
"3136","MET"
"3137","NOTCH2"
"3138","NOTCH3"
"3139","PALB2"
"3140","RB1"
"3141","RNF213"
"3142","SGK3"
"3143","TTLL7"
"3144","MYH1"
"3145","PBRM1"
"3146","POU3F2"
"3147","ERCC6"
"3148","LRP1B"
"3149","ARID1A"
"3150","CBLB"
"3151","COL1A2"
"3152","EZH2"
"3153","MTHFR"
"3154","TSC1"
"3155","PARK2"
"3156","ALK"
"3157","ATM"
"3158","CACNA1B"
"3159","DICER1"
"3160","EP300"
"3161","FANCI"
"3162","ADAMTSL3"
"3163","ERBB3"
"3164","LPHN2"
"3165","SMARCA4"
"3166","CIC"
"3167","EPHA5"
"3168","FLT1"
"3169","MAML3"
"3170","MYH2"
"3171","XPO1"
"3172","FLT4"
"3173","SYNE1"
"3174","AR"
"3175","JAK2"
"3176","ASXL1"
"3177","GUCY1A2"
"3178","PIK3CG"
"3179","ARID5B"
"3180","PTPRD"
"3181","CACNA1A"
"3182","COL2A1"
"3183","FGFR1"
"3184","FUBP1"
"3185","FANCM"
"3186","LPHN3"
"3187","BNC2"
"3188","AMER1"
"3189","ZBTB16"
"3190","LRP2"
"3191","MLLT4"
"3192","TERT"
"3193","TGFBR2"
"3194","BUB1B"
"3195","KIAA1549"
"3196","NTRK3"
"3197","ABL1"
"3198","NF2"
"3199","TET2"
"3200","AKT3"
"3201","PIK3R1"
"3202","LIFR"
"3203","WT1"
"3204","CARD11"
"3205","DLC1"
"3206","MAP3K9"
"3207","SPECC1"
"3208","CHUK"
"3209","FANCB"
"3210","AURKA"
"3211","DDX5"
"3212","DNMT3A"
"3213","IKZF1"
"3214","MAGI3"
"3215","MYH13"
"3216","PTCH1"
"3217","RICTOR"
"3218","ROBO2"
"3219","ACSL3"
"3220","ATR"
"3221","KDM6A"
"3222","MYH14"
"3223","NF1"
"3224","PPP2R1A"
"3225","CDH2"
"3226","BRAF"
"3227","ERBB4"
"3228","ABCB1"
"3229","ARID2"
"3230","DPYD"
"3231","KDR"
"3232","MAP3K1"
"3233","KMT2A"
"3234","SLCO1B1"
"3235","TRIM24"
"3236","PREX2"
"3237","EPHB1"
"3238","EPHA7"
"3239","PAK7"
"3240","FSCB"
"3241","ABCC4"
"3242","SF3B1"
"3243","FGFR2"
"3244","EPHA3"
"3245","TET1"
"3246","MUC2"
"3247","KIT"
"3248","JAK1"
"3249","FLT3"
"3250","GPC3"
"3251","MAGI2"
"3252","BRIP1"
"3253","CDKN2A"
"3254","SLC8A1"
"3255","HSP90AA1"
"3256","PMS1"
"3257","CTNNB1"
"3258","EPHA1"
"3259","SMARCB1"
"3260","PFAS"
"3261","XPC"
"3262","ABCG2"
"3263","DLX6"
"3264","NTRK2"
"3265","ERCC4"
"3266","ZIC4"
"3267","ACSL6"
"3268","CLTC"
"3269","ATXN1"
"3270","UMPS"
"3271","IKBKE"
"3272","AXL"
"3273","DNMT1"
"3274","MSH6"
"3275","MYH4"
"3276","WRN"
"3277","SLC22A2"
"3278","ARNT"
"3279","CDH1"
"3280","PRKCZ"
"3281","MMP27"
"3282","MUTYH"
"3283","KEAP1"
"3284","BIRC3"
"3285","CHEK1"
"3286","CYP2C19"
"3287","MCL1"
"3288","SLC8A2"
"3289","ACVR1B"
"3290","NBN"
"3291","EPHB4"
"3292","PMS2"
"3293","ETV1"
