"","x"
"553","KCNH5"
"554","KRT2"
"555","MAGEC3"
"556","PCDHB15"
"557","PHIP"
"558","SEMA5A"
"559","SH3GL1"
"560","ZNF592"
"561","AMY2B"
"562","ATP10A"
"563","C1orf94"
"564","CHD8"
"565","CNNM2"
"566","DNMBP"
"567","GABRA1"
"568","OBSL1"
"569","PTPN13"
"570","RABGAP1L"
"571","REL"
"572","XRN2"
"573","ZNF493"
"574","ZSCAN1"
"575","BOD1L1"
"576","DSPP"
"577","FN1"
"578","KANK1"
"579","KLHL1"
"580","LRP6"
"581","MAATS1"
"582","PDHA2"
"583","PITPNM3"
"584","SPAG1"
"585","TMEM47"
"586","CBX4"
"587","CCDC148"
"588","CDH11"
"589","CSF2RB"
"590","CUL4B"
"591","DCP1B"
"592","INTS1"
"593","KIAA1109"
"594","LGR6"
"595","MIS18BP1"
"596","MUC5B"
"597","PARD3"
"598","PAX7"
"599","RAI1"
"600","SLFN5"
"601","TESK1"
"602","TRPC3"
"603","WDTC1"
"604","A2M"
"605","ANKRD52"
"606","ASB4"
"607","BCORL1"
"608","CDC20"
"609","COL12A1"
"610","DCHS2"
"611","DMD"
"612","ECT2L"
"613","MED13L"
"614","OPLAH"
"615","PCNXL2"
"616","PEX5L"
"617","SCN5A"
"618","SFMBT2"
"619","THOC2"
"620","TRPC1"
"621","VPS13C"
"622","WRNIP1"
"623","ZNF491"
"624","AADACL2"
"625","ARFGEF2"
"626","ARHGAP31"
"627","B3GNT3"
"628","BDP1"
"629","BRWD3"
"630","CCDC108"
"631","CLEC4D"
"632","COL5A3"
"633","CPEB4"
"634","CPED1"
"635","CRLF3"
"636","DNAAF3"
"637","FAN1"
"638","HECTD1"
"639","HUWE1"
"640","IKZF2"
"641","ILDR2"
"642","KCND3"
"643","KIF5A"
"644","L3MBTL3"
"645","LAMA2"
"646","LAMA3"
"647","MAN1A2"
"648","MAP3K19"
"649","MOV10L1"
"650","MYOCD"
"651","NPAP1"
"652","NTNG2"
"653","OR4C15"
"654","OR4K17"
"655","PLXNA4"
"656","POLR3E"
"657","PREX1"
"658","PRMT7"
"659","PRRC2A"
"660","RYR1"
"661","SCN2A"
"662","SEC24C"
"663","SLC22A1"
"664","SLC45A4"
"665","SMARCE1"
"666","SMYD4"
"667","SRRM2"
"668","STX11"
"669","STYK1"
"670","TDRD6"
"671","TMEM132D"
"672","TPP2"
"673","TRIP6"
"674","TRMT10C"
"675","TTC23L"
"676","UHRF1BP1"
"677","UNC13A"
"678","UNC13B"
"679","VPS13B"
"680","ZBTB38"
"681","ZNF157"
"682","ZNF189"
"683","ABCA5"
"684","ANKFY1"
"685","RP11-1055B8.7"
"686","DISP1"
"687","IGSF11"
"688","KALRN"
"689","LRRC4C"
"690","OR2L3"
"691","PCSK5"
"692","PER3"
"693","POLR3B"
"694","SIGLEC10"
"695","THSD4"
"696","TSKS"
"697","ANKRD36"
"698","CACNG7"
"699","E2F8"
"700","KIF5B"
"701","KTN1"
"702","PCDHA11"
"703","PCDHGB4"
"704","PDE11A"
"705","PKD1L1"
"706","RUFY1"
"707","SCN11A"
"708","SPATA16"
"709","TCEB3"
"710","TRIM9"
"711","TRPC4AP"
"712","TRPM3"
"713","TTC21B"
"714","UPF2"
"715","ADAMTS14"
"716","ADAT1"
"717","AMOTL1"
"718","ATAD2"
"719","BMP15"
"720","C1orf173"
"721","CCDC110"
"722","CDC42BPA"
"723","CSTF2"
"724","DDHD1"
"725","DGCR8"
"726","DLG3"
"727","DMXL1"
"728","DNAJB6"
"729","DSCAM"
"730","FBXO33"
"731","FETUB"
"732","GBF1"
"733","GCN1L1"
"734","HCN1"
"735","IGSF22"
"736","KDM5B"
"737","KIF23"
"738","KRT15"
"739","LRRK1"
"740","MGAT4C"
"741","MTMR8"
"742","NBAS"
"743","NCKAP1"
"744","NIPBL"
"745","NUMA1"
"746","OR4L1"
"747","PBLD"
"748","PCDHB3"
"749","PKN3"
"750","PLEKHG4"
"751","PRDM16"
"752","PROX1"
"753","RANBP6"
"754","RSF1"
"755","SCNN1D"
"756","SLFN11"
"757","SNX29"
"758","SPHKAP"
"759","SYNDIG1L"
"760","TP53BP1"
"761","TRIM37"
"762","ZC3H11A"
"763","ZNF442"
"764","ABLIM2"
"765","CAD"
"766","CASR"
"767","CDH7"
"768","CNGB3"
"769","DNAH10"
"770","DOCK5"
"771","ELMO1"
"772","FAM107B"
"773","FRMD4B"
"774","FUS"
"775","GALNT9"
"776","GON4L"
"777","LRP5"
"778","NEO1"
"779","PCDH17"
"780","PCDHAC1"
"781","SEPT2"
"782","TMC4"
"783","TRPS1"
"784","ZAN"
"785","ZNF443"
"786","AHI1"
"787","ASCC3"
"788","ATRNL1"
"789","RTCB"
"790","CCDC93"
"791","CCPG1"
"792","CDC25B"
"793","CGNL1"
"794","CNTNAP2"
"795","COL21A1"
"796","CSMD1"
"797","DTNA"
"798","EIF5"
"799","EPHB2"
"800","FAM184A"
"801","FAT2"
"802","GPR112"
"803","GPR15"
"804","HECW1"
"805","HSPG2"
"806","ITGA4"
